      Step     Time          Energy          fmax
BFGS:    0 22:35:06     -216.836453        1.568890
BFGS:    1 22:35:35     -216.866481        0.970178
BFGS:    2 22:36:04     -216.899975        0.593385
BFGS:    3 22:36:34     -216.940671        0.645108
BFGS:    4 22:37:03     -216.992286        0.545831
BFGS:    5 22:37:32     -217.005857        0.344377
BFGS:    6 22:38:01     -217.018641        0.227910
BFGS:    7 22:38:29     -216.995538        0.034953
BFGS:    8 22:38:59     -217.009513        0.026460
BFGS:    9 22:39:28     -217.002146        0.012022
      Step     Time          Energy          fmax
BFGS:    0 23:24:22     -227.695037        1.137137
BFGS:    1 23:24:38     -227.722600        0.519114
BFGS:    2 23:24:54     -227.728085        0.030599
BFGS:    3 23:25:09     -227.727963        0.004802
